submitter	submitter_binary	copykat_0.025	copykat_0.05	copykat_0.075	copykat_0.1	copykat_0.125	copykat_0.15
Tumor_Myoblast-B	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-A	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myocyte-B	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Lymphocyte	Normal	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid	aneuploid	diploid	diploid
Tumor_Myoblast-A	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myocyte-B	Tumor	diploid	diploid	diploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	diploid	diploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-B	Tumor	diploid	diploid	aneuploid	aneuploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	diploid	diploid	aneuploid	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Lymphocyte	Normal	diploid	diploid	aneuploid	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	diploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myocyte-A	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myocyte-B	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Lymphocyte	Normal	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Neuron	Normal	aneuploid	diploid	aneuploid	diploid	aneuploid	diploid
Tumor_Myocyte-B	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Neuron	Normal	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-D	Tumor	aneuploid	diploid	diploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	diploid	diploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	diploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Lymphocyte	Normal	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	diploid	aneuploid	aneuploid	diploid
Fibroblast	Normal	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Vascular Endothelium	Normal	aneuploid	diploid	diploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Lymphocyte	Normal	aneuploid	diploid	diploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myocyte-B	Tumor	diploid	diploid	diploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-B	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-A	Tumor	diploid	diploid	diploid	diploid	diploid	diploid
Monocyte	Normal	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	diploid	aneuploid	aneuploid	aneuploid
Lymphocyte	Normal	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	diploid	aneuploid	aneuploid	aneuploid
NA	NA	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-D	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-D	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Neuron	Normal	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	diploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	diploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Lymphocyte	Normal	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Monocyte	Normal	diploid	diploid	diploid	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-A	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Lymphocyte	Normal	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid	aneuploid	aneuploid	diploid
Tumor_Myocyte-A	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
NA	NA	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid	aneuploid	diploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	diploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid	diploid	diploid	diploid
Fibroblast	Normal	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	diploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Mesoderm	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Lymphocyte	Normal	aneuploid	diploid	diploid	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-D	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myocyte-A	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid	diploid	diploid	diploid
Tumor_Mesoderm	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	diploid	aneuploid	aneuploid	diploid
Tumor_Myocyte-B	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	diploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Mesoderm	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	diploid	diploid	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid	aneuploid	aneuploid	diploid
Tumor_Myocyte-A	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-A	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid	aneuploid	aneuploid	diploid
Neuron	Normal	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-D	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	diploid	aneuploid	diploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Neuron	Normal	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Lymphocyte	Normal	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	aneuploid	diploid	diploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-A	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
NA	NA	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	diploid	aneuploid	aneuploid	diploid
Lymphocyte	Normal	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-B	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Vascular Endothelium	Normal	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
NA	NA	aneuploid	diploid	diploid	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid	diploid	aneuploid	diploid
Tumor_Myocyte-B	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Monocyte	Normal	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	aneuploid	diploid	aneuploid	aneuploid	diploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	diploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	diploid	aneuploid	diploid
Tumor_Myoblast-B	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	diploid	diploid	aneuploid	diploid
Lymphocyte	Normal	diploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	diploid	aneuploid	aneuploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-B	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Neuron	Normal	aneuploid	diploid	diploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid	aneuploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	diploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	diploid	diploid	diploid	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
Lymphocyte	Normal	aneuploid	diploid	diploid	aneuploid	aneuploid	diploid
Lymphocyte	Normal	aneuploid	diploid	aneuploid	aneuploid	aneuploid	aneuploid
